+-------------------------+-------------+----------+
|          Domain         | Total count | % Growth |
+-------------------------+-------------+----------+
| urgency.eu              |    815      |   71.2   |
| adversaries.net         |    811      |   69.7   |
| manhunt.ca              |    827      |   69.5   |
| autovaccination.com     |    810      |   68.4   |
| fatness.info            |    833      |   68.3   |
| holmes.net              |    838      |   67.9   |
| arborists.org           |    1160     |   67.9   |
| delirant.net            |    836      |   66.2   |
| trojans.com             |    1165     |   66.2   |
| roves.com               |    839      |   66.1   |
| cadets.ru               |    824      |   66.1   |
| triumvirate.us          |    824      |   65.8   |
| upturn.eu               |    806      |   65.2   |
| woodside.net            |    818      |   64.9   |
| gladiola.net            |    1099     |   64.8   |
| electrocardiography.net |    819      |   63.8   |
| regressive.ru           |    827      |   63.8   |
| bakhtiari.org           |    1149     |   63.2   |
| debentures.eu           |    806      |   63.2   |
| smoulders.com           |    845      |   62.8   |
| aegean.org              |    809      |   62.8   |
| datcha.info             |    809      |   62.4   |
| scintil.com             |    816      |   62.2   |
| squeegee.ca             |    829      |   61.9   |
| landers.ru              |    1180     |   61.9   |
| pavilions.ca            |    821      |   61.6   |
| cooperating.net         |    1173     |   61.6   |
| guerrila.net            |    1130     |   61.0   |
| weekly.asia             |    814      |   60.6   |
| ranidae.net             |    1158     |   60.2   |
| theopathic.org          |    812      |   60.2   |
| scrutinize.us           |    808      |   60.0   |
| triens.net              |    812      |   59.5   |
| recommends.org          |    810      |   59.1   |
| circumstantial.com      |    832      |   59.1   |
| chung.fr                |    810      |   58.2   |
| hobber.fr               |    808      |   58.1   |
| scheme.com              |    830      |   58.1   |
| jing.fr                 |    810      |   57.9   |
| thief.eu                |    811      |   57.8   |
| dozen.org               |    831      |   57.7   |
| plastic.net             |    807      |   57.6   |
| roaming.net             |    1175     |   57.5   |
| allograft.com           |    821      |   57.3   |
| swept.com               |    820      |   57.1   |
| durst.fr                |    819      |   56.3   |
| angeled.biz             |    833      |   55.7   |
| kph.com                 |    812      |   55.0   |
| fist.biz                |    812      |   55.0   |
| legis.eu                |    857      |   53.9   |
+-------------------------+-------------+----------+
